x,y,z
27415,35818,67070
27516,35807,67070
27650,35833,67070
27755,35798,67070
20007,35859,67070
20225,35879,67070
20253,35853,67070
20272,35900,67070
20305,35863,67070
20355,35865,67070
20405,35890,67070
20481,35872,67070
20661,35841,67070
20707,35903,67070
20796,35876,67070
20751,35873,67070
20833,35843,67070
20913,35859,67070
20989,35850,67070
21108,35855,67070
21066,35895,67070
21163,35856,67070
21186,35890,67070
21370,35892,67070
21382,35847,67070
21425,35875,67070
21514,35856,67070
21654,35885,67070
21794,35887,67070
22010,35850,67070
22212,35866,67070
22517,35846,67070
22627,35894,67070
22778,35891,67070
22896,35894,67070
23102,35900,67070
23042,35848,67070
23232,35844,67070
23477,35844,67070
23603,35859,67070
23562,35896,67070
23594,35895,67070
23696,35885,67070
23755,35851,67070
23827,35845,67070
25721,35840,67070
25818,35867,67070
25871,35897,67070
25928,35863,67070
25996,35860,67070
26036,35893,67070
26080,35879,67070
26121,35847,67070
26159,35854,67070
26259,35895,67070
26695,35865,67070
26770,35878,67070
26806,35897,67070
26847,35885,67070
26892,35866,67070
26919,35842,67070
27175,35851,67070
27278,35858,67070
27319,35872,67070
27519,35887,67070
27620,35900,67070
27730,35891,67070
28028,35901,67070
19831,35909,67070
19890,35948,67070
19963,35967,67070
19918,35907,67070
20136,35929,67070
20318,35930,67070
20366,35915,67070
20427,35967,67070
20603,35938,67070
20670,35936,67070
20771,35937,67070
20853,35965,67070
20853,35909,67070
20991,35917,67070
20932,35923,67070
21144,35924,67070
21233,35946,67070
21215,35918,67070
21307,35947,67070
21415,35940,67070
21499,35943,67070
21564,35927,67070
21620,35949,67070
21743,35942,67070
22259,35929,67070
22342,35960,67070
22865,35962,67070
22916,35944,67070
22964,35924,67070
23271,35914,67070
23331,35964,67070
23407,35946,67070
23513,35919,67070
23620,35946,67070
25085,35925,67070
25201,35918,67070
25280,35956,67070
25416,35958,67070
25847,35933,67070
25892,35922,67070
25885,35948,67070
25975,35910,67070
26014,35952,67070
26073,35915,67070
26097,35946,67070
26141,35905,67070
26143,35953,67070
26541,35966,67070
26617,35942,67070
26600,35921,67070
26566,35935,67070
26665,35942,67070
26739,35942,67070
26796,35954,67070
27268,35927,67070
27410,35919,67070
27876,35927,67070
19852,36010,67070
20073,36016,67070
20133,36021,67070
20187,36029,67070
20256,35977,67070
20326,36015,67070
20368,35992,67070
20507,35989,67070
20598,35980,67070
20606,36022,67070
20651,35991,67070
20722,35982,67070
20796,36013,67070
20751,36030,67070
20861,36031,67070
20917,35995,67070
21019,35980,67070
21100,35984,67070
21239,36010,67070
21194,35995,67070
21288,36017,67070
21342,36030,67070
21842,35974,67070
21933,36006,67070
22125,35984,67070
22255,35982,67070
22436,35994,67070
22573,36006,67070
22727,36018,67070
22943,35992,67070
22997,36031,67070
23171,35971,67070
23200,36014,67070
23243,35981,67070
23405,35999,67070
23539,35995,67070
23568,35981,67070
23624,35987,67070
25158,35987,67070
25547,35998,67070
25846,35975,67070
25875,35972,67070
25863,35999,67070
25927,36002,67070
26000,36023,67070
26041,36015,67070
26080,35979,67070
26095,36003,67070
26119,35979,67070
26197,36001,67070
26306,36018,67070
26588,35981,67070
26561,36024,67070
26635,35977,67070
26681,35985,67070
26741,36000,67070
26810,36021,67070
27220,36018,67070
27533,35984,67070
27704,35985,67070
27978,35973,67070
28060,35968,67070
19988,36037,67070
20104,36078,67070
20234,36051,67070
20286,36043,67070
20432,36094,67070
20530,36048,67070
20572,36063,67070
20635,36052,67070
20697,36046,67070
20812,36071,67070
20918,36047,67070
20879,36088,67070
20979,36042,67070
21027,36089,67070
21078,36049,67070
21179,36086,67070
21145,36051,67070
21196,36051,67070
21220,36072,67070
21309,36068,67070
21262,36046,67070
21422,36068,67070
21574,36046,67070
21742,36039,67070
21813,36069,67070
21956,36067,67070
22115,36075,67070
22218,36038,67070
22831,36035,67070
22803,36083,67070
22839,36093,67070
22887,36046,67070
23232,36077,67070
23396,36068,67070
23557,36069,67070
23634,36067,67070
24481,36044,67070
25099,36093,67070
25245,36038,67070
25478,36081,67070
25708,36076,67070
25848,36090,67070
25868,36045,67070
25880,36093,67070
